H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0.1,2.916,0.4,0.1,613,H15_V0.1_L2.916_F0.4_fla0.1,0.1835,0.05653333333333334,0.10886666666666667,0.03013333333333333,0.0275,0.0026,2.788333333333333,0.14956666666666668,0.16336666666666666
15,0.1,2.916,0.5,0.1,613,H15_V0.1_L2.916_F0.5_fla0.1,0.1874,0.05736666666666667,0.10723333333333333,0.030433333333333333,0.02783333333333333,0.0026,2.8331333333333335,0.15116666666666667,0.165
15,0.1,2.916,0.65,0.1,613,H15_V0.1_L2.916_F0.65_fla0.1,0.21036666666666665,0.06133333333333333,0.10426666666666666,0.03216666666666666,0.029566666666666665,0.0026,3.0264333333333333,0.15956666666666666,0.18113333333333334
15,0.1,2.916,0.75,0.1,613,H15_V0.1_L2.916_F0.75_fla0.1,0.2421,0.06763333333333334,0.0963,0.03423333333333334,0.031599999999999996,0.0026,3.237033333333333,0.1697,0.2046
15,0.1,2.916,0.85,0.1,613,H15_V0.1_L2.916_F0.85_fla0.1,0.28783333333333333,0.0767,0.09266666666666666,0.0368,0.034166666666666665,0.0026,3.5115333333333334,0.18203333333333332,0.2446
15,0.1,2.916,0.95,0.1,613,H15_V0.1_L2.916_F0.95_fla0.1,0.3501,0.08926666666666666,0.08366666666666667,0.03966666666666666,0.037066666666666664,0.0026,3.8249666666666666,0.19593333333333332,0.2996333333333333
15,0.1,2.916,1,0.1,613,H15_V0.1_L2.916_F1_fla0.1,0.3863333333333333,0.0966,0.08126666666666667,0.041133333333333334,0.0385,0.0026,3.9894666666666665,0.20283333333333334,0.3343
15,0.1,2.916,1.05,0.1,613,H15_V0.1_L2.916_F1.05_fla0.1,0.42083333333333334,0.10363333333333334,0.0773,0.042333333333333334,0.0397,0.0026,4.124233333333334,0.20873333333333335,0.36723333333333336
15,0.1,2.916,1.15,0.1,613,H15_V0.1_L2.916_F1.15_fla0.1,0.48683333333333334,0.1173,0.07143333333333333,0.0444,0.04176666666666667,0.0026,4.349,0.21846666666666667,0.4332
15,0.1,2.916,1.25,0.1,613,H15_V0.1_L2.916_F1.25_fla0.1,0.5300666666666667,0.12653333333333333,0.06783333333333333,0.045533333333333335,0.0429,0.0026,4.469033333333333,0.22393333333333335,0.47813333333333335
