"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"218",15,0.25,1.521,0.95,27,351,"H15_V0.25_L1.521_F0.95_fla27",90.1514333333333,24.0689666666667,25.2361666666667,10.6462,9.9383,0.708,795.859266666667,29.0062333333333,89.0633
"219",15,0.25,1.521,1,27,351,"H15_V0.25_L1.521_F1_fla27",92.5968666666667,24.5803666666667,25.2677666666667,10.7504666666667,10.0424666666667,0.708,805.179566666667,29.3003,91.6268666666667
"220",15,0.25,1.521,1.05,27,351,"H15_V0.25_L1.521_F1.05_fla27",95.3407666666667,25.1546,25.1486,10.8642,10.1562,0.708,814.520566666667,29.6212,94.4544333333333
"221",15,0.25,1.521,1.15,27,351,"H15_V0.25_L1.521_F1.15_fla27",100.580366666667,26.2482666666667,24.7181,11.0712,10.3632666666667,0.708,830.892733333333,30.2073,99.7839666666667
"222",15,0.25,1.521,1.25,27,351,"H15_V0.25_L1.521_F1.25_fla27",104.910766666667,27.1236666666667,24.3409333333333,11.2380333333333,10.5300666666667,0.708,841.216533333333,30.6818,104.279533333333
"223",15,0.25,1.521,1.35,27,351,"H15_V0.25_L1.521_F1.35_fla27",108.0647,27.8295,24.1687333333333,11.3545333333333,10.6466,0.708,847.7232,31.0175,107.758533333333
"224",15,0.25,1.521,1.5,27,351,"H15_V0.25_L1.521_F1.5_fla27",110.2657,28.3467,23.892,11.4290666666667,10.7211,0.708,854.191033333333,31.2337,110.034766666667
"225",15,0.25,1.521,1.6,27,351,"H15_V0.25_L1.521_F1.6_fla27",111.1162,28.5643666666667,23.8028,11.4569666666667,10.749,0.708,857.182933333333,31.3152,110.927333333333
"226",15,0.25,1.521,1.75,27,351,"H15_V0.25_L1.521_F1.75_fla27",111.805266666667,28.7586333333333,23.6829,11.4804666666667,10.7725666666667,0.708,860.006866666667,31.3837,111.626633333333
"227",15,0.25,1.521,1.85,27,351,"H15_V0.25_L1.521_F1.85_fla27",111.9693,28.8130666666667,23.6037333333333,11.4863,10.7783333333333,0.708,861.0353,31.4002666666667,111.755866666667
"228",15,0.25,1.521,1.99,27,351,"H15_V0.25_L1.521_F1.99_fla27",112.0417,28.7856,23.6389333333333,11.4884,10.7804,0.708,861.551766666667,31.4061333333333,111.785133333333
"229",15,0.25,2.916,0.01,27,666,"H15_V0.25_L2.916_F0.01_fla27",48.8311333333333,15.7097,29.8831333333333,8.0898,7.38183333333333,0.708,444.336933333333,41.9790333333333,58.1879333333333
"230",15,0.25,2.916,0.15,27,666,"H15_V0.25_L2.916_F0.15_fla27",50.0808,15.9923,29.2827,8.19493333333333,7.487,0.708,451.305866666667,42.5198333333333,59.0227
"231",15,0.25,2.916,0.25,27,666,"H15_V0.25_L2.916_F0.25_fla27",51.488,16.2971333333333,29.3042666666667,8.31393333333333,7.60596666666667,0.708,458.528966666667,43.1478666666667,60.4278666666667
