"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"138",15,0.1,2.916,0.5,613,"H15_V0.1_L2.916_F0.5",57.4552666666667,22.1888,54.1835333333333,11.1420666666667,9.89343333333333,1.2486,1144.57853333333,54.5578666666667,53.6506666666667
"139",15,0.1,2.916,0.65,613,"H15_V0.1_L2.916_F0.65",64.3949,23.6253333333333,52.7521333333333,11.8384,10.5898,1.2486,1220.2264,57.9295,57.6657333333333
"140",15,0.1,2.916,0.75,613,"H15_V0.1_L2.916_F0.75",73.8462333333333,25.5887666666667,51.5709333333333,12.7460666666667,11.4974666666667,1.2486,1308.81303333333,62.3188333333333,64.3290333333333
"141",15,0.1,2.916,0.85,613,"H15_V0.1_L2.916_F0.85",86.8191666666667,28.3095333333333,49.6535333333333,13.8710333333333,12.6224333333333,1.2486,1414.9025,67.8031,74.0223333333333
"142",15,0.1,2.916,0.95,613,"H15_V0.1_L2.916_F0.95",104.5434,32.0667666666667,47.4069666666667,15.2658666666667,14.0172666666667,1.2486,1542.1917,74.6937666666667,88.3591
"143",15,0.1,2.916,1,613,"H15_V0.1_L2.916_F1",114.473966666667,34.1601333333333,46.2667,15.9732,14.7246,1.2486,1606.5375,78.2432333333333,96.7840666666667
"144",15,0.1,2.916,1.05,613,"H15_V0.1_L2.916_F1.05",124.022033333333,36.1491333333333,45.8440333333333,16.6342666666667,15.3856666666667,1.2486,1663.01753333333,81.5973333333333,105.522766666667
"145",15,0.1,2.916,1.15,613,"H15_V0.1_L2.916_F1.15",142.2869,40.0763,44.2977333333333,17.7995666666667,16.5509,1.2486,1756.70366666667,87.5945666666667,122.573833333333
"146",15,0.1,2.916,1.25,613,"H15_V0.1_L2.916_F1.25",154.339566666667,42.7233666666667,43.2298333333333,18.5119666666667,17.2633666666667,1.2486,1805.78136666667,91.3266333333333,134.448466666667
"147",15,0.1,2.916,1.35,613,"H15_V0.1_L2.916_F1.35",159.7913,43.9772666666667,42.7207,18.8121666666667,17.5635333333333,1.2486,1826.4271,92.9316333333333,139.949433333333
"148",15,0.1,2.916,1.5,613,"H15_V0.1_L2.916_F1.5",161.214066666667,44.4276666666667,42.3546,18.8860666666667,17.6374333333333,1.2486,1839.1235,93.3343333333333,141.0802
"149",15,0.1,2.916,1.6,613,"H15_V0.1_L2.916_F1.6",161.238833333333,44.5100333333333,42.2054,18.8878333333333,17.6392333333333,1.2486,1843.09286666667,93.3442666666667,140.944166666667
"150",15,0.1,2.916,1.75,613,"H15_V0.1_L2.916_F1.75",161.190266666667,44.5624333333333,42.0894,18.8859,17.6372666666667,1.2486,1848.5506,93.3335333333333,140.654533333333
"151",15,0.1,2.916,1.85,613,"H15_V0.1_L2.916_F1.85",161.165333333333,44.5924666666667,42.0232,18.8848666666667,17.6362666666667,1.2486,1851.0132,93.3281,140.521066666667
"152",15,0.1,2.916,1.99,613,"H15_V0.1_L2.916_F1.99",161.1639,44.5907333333333,42.0245666666667,18.8847,17.6360666666667,1.2486,1852.2871,93.3272333333333,140.461766666667
"153",15,0.1,4.402,0.01,925,"H15_V0.1_L4.402_F0.01",42.7414,18.8843666666667,57.2143,9.18886666666667,7.94023333333333,1.2486,1022.95673333333,55.3509,43.144
"154",15,0.1,4.402,0.15,925,"H15_V0.1_L4.402_F0.15",42.5454,18.8647333333333,57.0432666666667,9.1532,7.90456666666667,1.2486,1020.35946666667,55.1263666666667,42.9380666666667
"155",15,0.1,4.402,0.25,925,"H15_V0.1_L4.402_F0.25",42.5087,18.9593666666667,56.2907666666667,9.14203333333333,7.89343333333333,1.2486,1021.9453,55.0515666666667,42.4552333333333
"156",15,0.1,4.402,0.4,925,"H15_V0.1_L4.402_F0.4",43.1767,19.078,56.5881666666667,9.2239,7.97523333333333,1.2486,1037.10763333333,55.5454,42.7394
"157",15,0.1,4.402,0.5,925,"H15_V0.1_L4.402_F0.5",45.2388333333333,19.6003,55.9666333333333,9.4852,8.2366,1.2486,1064.29,57.0596333333333,43.7150333333333
"158",15,0.1,4.402,0.65,925,"H15_V0.1_L4.402_F0.65",52.3230333333333,21.2208,54.1026666666667,10.3084,9.0598,1.2486,1155.8656,61.8592,47.1002
"159",15,0.1,4.402,0.75,925,"H15_V0.1_L4.402_F0.75",62.2418333333333,23.3432333333333,52.8495,11.3835,10.1349,1.2486,1263.7786,68.1655,53.471
"160",15,0.1,4.402,0.85,925,"H15_V0.1_L4.402_F0.85",77.0470666666667,26.5681333333333,49.7448333333333,12.8420333333333,11.5934,1.2486,1403.7439,76.7295,63.2255666666667
"161",15,0.1,4.402,0.95,925,"H15_V0.1_L4.402_F0.95",96.521,30.7056666666667,48.0764333333333,14.4991666666667,13.2505666666667,1.2486,1567.2388,86.7050333333333,78.4537666666667
"162",15,0.1,4.402,1,925,"H15_V0.1_L4.402_F1",107.5675,33.0570666666667,46.4350333333333,15.3660666666667,14.1174333333333,1.2486,1647.78356666667,91.9666,87.1930333333333
"163",15,0.1,4.402,1.05,925,"H15_V0.1_L4.402_F1.05",119.0831,35.5107666666667,45.4946666666667,16.1974666666667,14.9488666666667,1.2486,1727.64506666667,97.1277666666667,97.0013666666667
"164",15,0.1,4.402,1.15,925,"H15_V0.1_L4.402_F1.15",139.2044,39.8090666666667,43.7712333333333,17.5610333333333,16.3124333333333,1.2486,1851.1069,105.707066666667,114.8246
"165",15,0.1,4.402,1.25,925,"H15_V0.1_L4.402_F1.25",152.972633333333,42.7884333333333,42.6528666666667,18.4176666666667,17.1690666666667,1.2486,1917.4548,111.226666666667,127.928833333333
"166",15,0.1,4.402,1.35,925,"H15_V0.1_L4.402_F1.35",159.283066666667,44.2377,42.0717,18.7813,17.5326666666667,1.2486,1945.54826666667,113.624433333333,134.112166666667
"167",15,0.1,4.402,1.5,925,"H15_V0.1_L4.402_F1.5",160.992366666667,44.7412333333333,41.6985,18.8781333333333,17.6295,1.2486,1960.8568,114.2679,135.4576
"168",15,0.1,4.402,1.6,925,"H15_V0.1_L4.402_F1.6",161.004566666667,44.8117333333333,41.5579,18.8790333333333,17.6304,1.2486,1966.34746666667,114.274233333333,135.231266666667
"169",15,0.1,4.402,1.75,925,"H15_V0.1_L4.402_F1.75",160.9769,44.8495333333333,41.4737333333333,18.8779,17.6292333333333,1.2486,1971.0415,114.2664,134.995233333333
